,INDICATOR_CODE,INDICATOR_NAME,Country_ID,Country_Code,Region,IncomeGroup,CountryName,RECORDED_YEAR,EMISSION
0,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),2,AFE,,,Africa Eastern and Southern,1990,0.9829748217
1,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),2,AFE,,,Africa Eastern and Southern,1991,0.9422116407
2,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),2,AFE,,,Africa Eastern and Southern,1992,0.9079359312
3,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),2,AFE,,,Africa Eastern and Southern,1993,0.9095498114
4,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),2,AFE,,,Africa Eastern and Southern,1994,0.9134132259
5,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),2,AFE,,,Africa Eastern and Southern,1995,0.9330006197
6,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),2,AFE,,,Africa Eastern and Southern,1996,0.943199917
7,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),2,AFE,,,Africa Eastern and Southern,1997,0.9622028626
8,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),2,AFE,,,Africa Eastern and Southern,1998,0.9631566995
9,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),2,AFE,,,Africa Eastern and Southern,1999,0.9021341564
10,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),2,AFE,,,Africa Eastern and Southern,2000,0.8913520581
11,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),2,AFE,,,Africa Eastern and Southern,2001,0.9588828061
12,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),2,AFE,,,Africa Eastern and Southern,2002,0.9615534069
13,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),2,AFE,,,Africa Eastern and Southern,2003,0.9880829515
14,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),2,AFE,,,Africa Eastern and Southern,2004,1.032475586
15,EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),2,AFE,,,Africa Eastern and Southern,2005,1.008065279
